,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,location.address.state,location.address.city,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes,interest_rate
163,1701352241.0,1965.0,0.0,1705017600.0,2.0,0.0,11326.0,1635.0,2.0,2.0,1.0,3.0,172763.26515151514,172763.26515151514,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.33
4892,1696738339.0,2004.0,0.0,1702339200.0,2.0,1.0,3615.0,2608.0,3.0,1.0,2.0,5.0,244447.15447154472,729000.0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.33
5421,1698421379.0,1920.0,0.0,1704412800.0,1.0,1.0,3920.0,1780.0,2.0,0.0,2.0,3.0,260635.74626865672,250075.95041322315,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,5.33
7507,1702565852.0,1950.0,0.0,1705017600.0,2.0,0.0,7841.0,1431.0,2.0,0.0,1.0,4.0,381542.78571428574,344168.5714285714,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
3878,1702161886.0,1947.0,1.0,1705017600.0,1.0,0.0,4961.0,1406.0,2.0,1.0,1.0,4.0,351393.78571428574,338264.57364341087,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,5.33
5347,1698328518.0,1993.0,0.0,1703116800.0,2.0,1.0,6534.0,2573.0,3.0,2.0,2.0,4.0,466018.73214285716,466018.73214285716,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5.33
3635,1699545980.0,1977.0,0.0,1704758400.0,3.0,0.0,18731.0,3204.0,3.0,0.0,2.0,4.0,175455.03875968992,175455.03875968992,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,5.33
1022,1690230894.0,1972.0,1.0,1699574400.0,1.0,0.0,10454.0,2386.0,2.0,2.0,2.0,4.0,570285.0,570285.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.08
5273,1700626036.0,2007.0,0.0,1702944000.0,2.0,0.0,3920.0,1615.0,2.0,2.0,1.0,3.0,466018.73214285716,466018.73214285716,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,5.33
4760,1701360778.0,1974.0,1.0,1704672000.0,1.0,0.0,7808.0,2086.0,2.0,2.0,1.0,3.0,336884.1216216216,336884.1216216216,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,5.33
3208,1699735044.0,1965.0,0.0,1705363200.0,1.0,0.0,470.0,470.0,1.0,0.0,1.0,1.0,578773.5849056604,578773.5849056604,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,5.33
6355,1694617527.0,1900.0,0.0,1704326400.0,2.0,0.0,1742.0,2324.0,2.0,1.0,2.0,3.0,239801.9642857143,239801.9642857143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.33
